onset	duration	sample	value	event_onset	event_type
16.99414062	0.001953125	4350.5	I_pressed	4351.5	I_pressed
527.8203125	0.001953125	135122	P_pressed	135123	P_pressed
682.453125	0.001953125	174708	D_pressed	174709	D_pressed
848.5253906	0.001953125	217222.5	S_pressed	217223.5	S_pressed
860.3808594	0.001953125	220257.5	C_pressed	220258.5	C_pressed
924.8417969	0.001953125	236759.5	L_pressed	236760.5	L_pressed
947.5449219	0.001953125	242571.5	R_pressed	242572.5	R_pressed
990.7441406	0.001953125	253630.5	N_pressed	253631.5	N_pressed
1486.931641	0.001953125	380654.5	A_pressed	380655.5	A_pressed
1651.804688	0.001953125	422862	F_pressed	422863	F_pressed
