onset	duration	sample	value	event_onset	event_type
49.16992188	0.001953125	12587.5	I_pressed	12588.5	I_pressed
771.7753906	0.001953125	197574.5	P_pressed	197575.5	P_pressed
917.5566406	0.001953125	234894.5	D_pressed	234895.5	D_pressed
1099.402344	0.001953125	281447	S_pressed	281448	S_pressed
1106.337891	0.001953125	283222.5	C_pressed	283223.5	C_pressed
1154.294922	0.001953125	295499.5	L_pressed	295500.5	L_pressed
1191.224609	0.001953125	304953.5	R_pressed	304954.5	R_pressed
1250.974609	0.001953125	320249.5	N_pressed	320250.5	N_pressed
1664.173828	0.001953125	426028.5	B_pressed	426029.5	B_pressed
1768.144531	0.001953125	452645	A_pressed	452646	A_pressed
1807.611328	0.001953125	462748.5	F_pressed	462749.5	F_pressed
