onset	duration	sample	value	event_onset	event_type
17.00195312	0.001953125	4352.5	I_pressed	4353.5	I_pressed
666.5273438	0.001953125	170631	P_pressed	170632	P_pressed
735.9648438	0.001953125	188407	D_pressed	188408	D_pressed
810.0410156	0.001953125	207370.5	S_pressed	207371.5	S_pressed
864.4394531	0.001953125	221296.5	C_pressed	221297.5	C_pressed
947.3945312	0.001953125	242533	L_pressed	242534	L_pressed
1064.623047	0.001953125	272543.5	N_pressed	272544.5	N_pressed
1413.792969	0.001953125	361931	A_pressed	361932	A_pressed
1454.349609	0.001953125	372313.5	F_pressed	372314.5	F_pressed
