onset	duration	sample	value	event_onset	event_type
40.90234375	0.001953125	10471	I_pressed	10472	I_pressed
606.2539062	0.001953125	155201	P_pressed	155202	P_pressed
697.9433594	0.001953125	178673.5	D_pressed	178674.5	D_pressed
820.1210938	0.001953125	209951	S_pressed	209952	S_pressed
825.78125	0.001953125	211400	C_pressed	211401	C_pressed
920.6523438	0.001953125	235687	L_pressed	235688	L_pressed
984.7871094	0.001953125	252105.5	N_pressed	252106.5	N_pressed
1358.111328	0.001953125	347676.5	B_pressed	347677.5	B_pressed
1426.503906	0.001953125	365185	A_pressed	365186	A_pressed
1464.001953	0.001953125	374784.5	F_pressed	374785.5	F_pressed
