onset	duration	sample	value	event_onset	event_type
13.56835938	0.001953125	3473.5	I_pressed	3474.5	I_pressed
558.6640625	0.001953125	143018	P_pressed	143019	P_pressed
732.0820312	0.001953125	187413	D_pressed	187414	D_pressed
819.5664062	0.001953125	209809	S_pressed	209810	S_pressed
919.2890625	0.001953125	235338	L_pressed	235339	L_pressed
983.9433594	0.001953125	251889.5	N_pressed	251890.5	N_pressed
1427.236328	0.001953125	365372.5	A_pressed	365373.5	A_pressed
1443.298828	0.001953125	369484.5	F_pressed	369485.5	F_pressed
