onset	duration	sample	value	event_onset	event_type
16.1015625	0.001953125	4122	I_pressed	4123	I_pressed
797.1777344	0.001953125	204077.5	P_pressed	204078.5	P_pressed
919.7773438	0.001953125	235463	D_pressed	235464	D_pressed
1097.433594	0.001953125	280943	S_pressed	280944	S_pressed
1176.789062	0.001953125	301258	C_pressed	301259	C_pressed
1372.78125	0.001953125	351432	L_pressed	351433	L_pressed
1629.970703	0.001953125	417272.5	N_pressed	417273.5	N_pressed
2246.216797	0.001953125	575031.5	A_pressed	575032.5	A_pressed
2285.318359	0.001953125	585041.5	F_pressed	585042.5	F_pressed
