onset	duration	sample	value	event_onset	event_type
2.873046875	0.001953125	735.5	I_pressed	736.5	I_pressed
569.6816406	0.001953125	145838.5	P_pressed	145839.5	P_pressed
677.3398438	0.001953125	173399	D_pressed	173400	D_pressed
746.8105469	0.001953125	191183.5	S_pressed	191184.5	S_pressed
810.4394531	0.001953125	207472.5	C_pressed	207473.5	C_pressed
862.5488281	0.001953125	220812.5	L_pressed	220813.5	L_pressed
933.5371094	0.001953125	238985.5	N_pressed	238986.5	N_pressed
1312.800781	0.001953125	336077	A_pressed	336078	A_pressed
1350.880859	0.001953125	345825.5	F_pressed	345826.5	F_pressed
