onset	duration	sample	value	event_onset	event_type
37.41015625	0.001953125	9577	I_pressed	9578	I_pressed
807.265625	0.001953125	206660	P_pressed	206661	P_pressed
984.953125	0.001953125	252148	D_pressed	252149	D_pressed
1152.707031	0.001953125	295093	S_pressed	295094	S_pressed
1231.935547	0.001953125	315375.5	C_pressed	315376.5	C_pressed
1391.927734	0.001953125	356333.5	L_pressed	356334.5	L_pressed
1569.056641	0.001953125	401678.5	N_pressed	401679.5	N_pressed
2258.787109	0.001953125	578249.5	A_pressed	578250.5	A_pressed
2285.970703	0.001953125	585208.5	F_pressed	585209.5	F_pressed
