onset	duration	sample	value	event_onset	event_type
35.68554688	0.001953125	9135.5	I_pressed	9136.5	I_pressed
581.6503906	0.001953125	148902.5	P_pressed	148903.5	P_pressed
942.1992188	0.001953125	241203	D_pressed	241204	D_pressed
1321.154297	0.001953125	338215.5	C_pressed	338216.5	C_pressed
1527.111328	0.001953125	390940.5	L_pressed	390941.5	L_pressed
1756.492188	0.001953125	449662	R_pressed	449663	R_pressed
1788.294922	0.001953125	457803.5	N_pressed	457804.5	N_pressed
1979.755859	0.001953125	506817.5	B_pressed	506818.5	B_pressed
2136.041016	0.001953125	546826.5	A_pressed	546827.5	A_pressed
2166.470703	0.001953125	554616.5	F_pressed	554617.5	F_pressed
