onset	duration	sample	value	event_onset	event_type
24.14453125	0.001953125	6181	I_pressed	6182	I_pressed
854.4648438	0.001953125	218743	P_pressed	218744	P_pressed
1061.652344	0.001953125	271783	D_pressed	271784	D_pressed
1261.103516	0.001953125	322842.5	S_pressed	322843.5	S_pressed
1404.470703	0.001953125	359544.5	C_pressed	359545.5	C_pressed
1546.443359	0.001953125	395889.5	L_pressed	395890.5	L_pressed
1819.271484	0.001953125	465733.5	N_pressed	465734.5	N_pressed
2268.25	0.001953125	580672	A_pressed	580673	A_pressed
2332.234375	0.001953125	597052	F_pressed	597053	F_pressed
