onset	duration	sample	value	event_onset	event_type
29.18164062	0.001953125	7470.5	I_pressed	7471.5	I_pressed
799.7773438	0.001953125	204743	P_pressed	204744	P_pressed
906.3613281	0.001953125	232028.5	D_pressed	232029.5	D_pressed
1136.041016	0.001953125	290826.5	C_pressed	290827.5	C_pressed
1260.703125	0.001953125	322740	L_pressed	322741	L_pressed
1349.070312	0.001953125	345362	R_pressed	345363	R_pressed
1399.373047	0.001953125	358239.5	N_pressed	358240.5	N_pressed
1899.980469	0.001953125	486395	B_pressed	486396	B_pressed
1998.134766	0.001953125	511522.5	A_pressed	511523.5	A_pressed
2050.746094	0.001953125	524991	F_pressed	524992	F_pressed
