onset	duration	sample	value	event_onset	event_type
49.93164062	0.001953125	12782.5	I_pressed	12783.5	I_pressed
711.0664062	0.001953125	182033	P_pressed	182034	P_pressed
880.0996094	0.001953125	225305.5	D_pressed	225306.5	D_pressed
1008.287109	0.001953125	258121.5	S_pressed	258122.5	S_pressed
1008.769531	0.001953125	258245	C_pressed	258246	C_pressed
1140.132812	0.001953125	291874	L_pressed	291875	L_pressed
1141.220703	0.001953125	292152.5	R_pressed	292153.5	R_pressed
1167.056641	0.001953125	298766.5	N_pressed	298767.5	N_pressed
1503.128906	0.001953125	384801	B_pressed	384802	B_pressed
1554.027344	0.001953125	397831	A_pressed	397832	A_pressed
1586.605469	0.001953125	406171	F_pressed	406172	F_pressed
