onset	duration	sample	value	event_onset	event_type
38.3359375	0.001953125	9814	I_pressed	9815	I_pressed
814.9785156	0.001953125	208634.5	P_pressed	208635.5	P_pressed
983.4589844	0.001953125	251765.5	D_pressed	251766.5	D_pressed
1209.664062	0.001953125	309674	S_pressed	309675	S_pressed
1210.048828	0.001953125	309772.5	C_pressed	309773.5	C_pressed
1381.537109	0.001953125	353673.5	L_pressed	353674.5	L_pressed
1701.193359	0.001953125	435505.5	N_pressed	435506.5	N_pressed
2152.349609	0.001953125	551001.5	B_pressed	551002.5	B_pressed
2226.693359	0.001953125	570033.5	A_pressed	570034.5	A_pressed
2295.523438	0.001953125	587654	F_pressed	587655	F_pressed
