onset	duration	sample	value	event_onset	event_type
17.11523438	0.001953125	4381.5	I_pressed	4382.5	I_pressed
622.578125	0.001953125	159380	P_pressed	159381	P_pressed
734.078125	0.001953125	187924	D_pressed	187925	D_pressed
842.5683594	0.001953125	215697.5	S_pressed	215698.5	S_pressed
951.0273438	0.001953125	243463	C_pressed	243464	C_pressed
1045.136719	0.001953125	267555	L_pressed	267556	L_pressed
1228.775391	0.001953125	314566.5	N_pressed	314567.5	N_pressed
1611.960938	0.001953125	412662	A_pressed	412663	A_pressed
1674.181641	0.001953125	428590.5	F_pressed	428591.5	F_pressed
