onset	duration	sample	value	event_onset	event_type
19.4375	0.001953125	4976	I_pressed	4977	I_pressed
661.6816406	0.001953125	169390.5	P_pressed	169391.5	P_pressed
867.8496094	0.001953125	222169.5	D_pressed	222170.5	D_pressed
954.9179688	0.001953125	244459	S_pressed	244460	S_pressed
998.3710938	0.001953125	255583	C_pressed	255584	C_pressed
1090.384766	0.001953125	279138.5	L_pressed	279139.5	L_pressed
1213.849609	0.001953125	310745.5	N_pressed	310746.5	N_pressed
1809.841797	0.001953125	463319.5	A_pressed	463320.5	A_pressed
1845.34375	0.001953125	472408	F_pressed	472409	F_pressed
