onset	duration	sample	value	event_onset	event_type
36.84570312	0.001953125	9432.5	I_pressed	9433.5	I_pressed
497.3144531	0.001953125	127312.5	P_pressed	127313.5	P_pressed
606.78125	0.001953125	155336	D_pressed	155337	D_pressed
897.2402344	0.001953125	229693.5	S_pressed	229694.5	S_pressed
899.3574219	0.001953125	230235.5	C_pressed	230236.5	C_pressed
1034.615234	0.001953125	264861.5	L_pressed	264862.5	L_pressed
1118.951172	0.001953125	286451.5	R_pressed	286452.5	R_pressed
1806.402344	0.001953125	462439	F_pressed	462440	F_pressed
