onset	duration	sample	value	event_onset	event_type
440.921875	0.001953125	112876	I_pressed	112877	I_pressed
1047.677734	0.001953125	268205.5	P_pressed	268206.5	P_pressed
1340.953125	0.001953125	343284	D_pressed	343285	D_pressed
1599.769531	0.001953125	409541	C_pressed	409542	C_pressed
1753.566406	0.001953125	448913	L_pressed	448914	L_pressed
1928.251953	0.001953125	493632.5	R_pressed	493633.5	R_pressed
1962.462891	0.001953125	502390.5	N_pressed	502391.5	N_pressed
2181.146484	0.001953125	558373.5	B_pressed	558374.5	B_pressed
2358.925781	0.001953125	603885	F_pressed	603886	F_pressed
