onset	duration	sample	value	event_onset	event_type
23.10546875	0.001953125	5915	I_pressed	5916	I_pressed
629.9570312	0.001953125	161269	P_pressed	161270	P_pressed
723.9414062	0.001953125	185329	D_pressed	185330	D_pressed
839.1191406	0.001953125	214814.5	S_pressed	214815.5	S_pressed
845.9472656	0.001953125	216562.5	C_pressed	216563.5	C_pressed
905.8007812	0.001953125	231885	L_pressed	231886	L_pressed
938.0507812	0.001953125	240141	R_pressed	240142	R_pressed
961.1347656	0.001953125	246050.5	N_pressed	246051.5	N_pressed
1289.316406	0.001953125	330065	B_pressed	330066	B_pressed
1338.001953	0.001953125	342528.5	A_pressed	342529.5	A_pressed
1371.484375	0.001953125	351100	F_pressed	351101	F_pressed
