onset	duration	sample	value	event_onset	event_type
16.5078125	0.001953125	4226	I_pressed	4227	I_pressed
770.7480469	0.001953125	197311.5	P_pressed	197312.5	P_pressed
858.8554688	0.001953125	219867	D_pressed	219868	D_pressed
923.2207031	0.001953125	236344.5	S_pressed	236345.5	S_pressed
971.2363281	0.001953125	248636.5	C_pressed	248637.5	C_pressed
1046.976562	0.001953125	268026	L_pressed	268027	L_pressed
1117.085938	0.001953125	285974	N_pressed	285975	N_pressed
1511.037109	0.001953125	386825.5	A_pressed	386826.5	A_pressed
1561.673828	0.001953125	399788.5	F_pressed	399789.5	F_pressed
