onset	duration	sample	value	event_onset	event_type
24.67578125	0.001953125	6317	I_pressed	6318	I_pressed
710.7734375	0.001953125	181958	P_pressed	181959	P_pressed
868.21875	0.001953125	222264	D_pressed	222265	D_pressed
1002.449219	0.001953125	256627	S_pressed	256628	S_pressed
1021.253906	0.001953125	261441	C_pressed	261442	C_pressed
1120.757812	0.001953125	286914	L_pressed	286915	L_pressed
1197.525391	0.001953125	306566.5	R_pressed	306567.5	R_pressed
1237.443359	0.001953125	316785.5	N_pressed	316786.5	N_pressed
1643.914062	0.001953125	420842	B_pressed	420843	B_pressed
1743.273438	0.001953125	446278	A_pressed	446279	A_pressed
1800.015625	0.001953125	460804	F_pressed	460805	F_pressed
