onset	duration	sample	value	event_onset	event_type
33.765625	0.001953125	8644	I_pressed	8645	I_pressed
697.9609375	0.001953125	178678	P_pressed	178679	P_pressed
788.7089844	0.001953125	201909.5	D_pressed	201910.5	D_pressed
916.7363281	0.001953125	234684.5	S_pressed	234685.5	S_pressed
970.09375	0.001953125	248344	C_pressed	248345	C_pressed
1074.505859	0.001953125	275073.5	L_pressed	275074.5	L_pressed
1264.144531	0.001953125	323621	N_pressed	323622	N_pressed
1720.509766	0.001953125	440450.5	A_pressed	440451.5	A_pressed
1753.820312	0.001953125	448978	F_pressed	448979	F_pressed
