onset	duration	sample	value	event_onset	event_type
24.70507812	0.001953125	6324.5	I_pressed	6325.5	I_pressed
718.2207031	0.001953125	183864.5	P_pressed	183865.5	P_pressed
835.71875	0.001953125	213944	D_pressed	213945	D_pressed
1011.984375	0.001953125	259068	S_pressed	259069	S_pressed
1016.947266	0.001953125	260338.5	C_pressed	260339.5	C_pressed
1108.882812	0.001953125	283874	L_pressed	283875	L_pressed
1161.216797	0.001953125	297271.5	R_pressed	297272.5	R_pressed
1169.384766	0.001953125	299362.5	N_pressed	299363.5	N_pressed
1679.275391	0.001953125	429894.5	A_pressed	429895.5	A_pressed
1768.916016	0.001953125	452842.5	B_pressed	452843.5	B_pressed
1932.46875	0.001953125	494712	F_pressed	494713	F_pressed
