onset	duration	sample	value	event_onset	event_type
3.431640625	0.001953125	878.5	I_pressed	879.5	I_pressed
690.21875	0.001953125	176696	P_pressed	176697	P_pressed
807.8945312	0.001953125	206821	D_pressed	206822	D_pressed
943.7285156	0.001953125	241594.5	S_pressed	241595.5	S_pressed
1036.171875	0.001953125	265260	C_pressed	265261	C_pressed
1192.884766	0.001953125	305378.5	L_pressed	305379.5	L_pressed
1294.576172	0.001953125	331411.5	N_pressed	331412.5	N_pressed
1895.431641	0.001953125	485230.5	A_pressed	485231.5	A_pressed
1964.324219	0.001953125	502867	F_pressed	502868	F_pressed
